0,3
100,3
101,6
102,1
103,2
104,7
105,6
106,1
107,4
108,5
109,8
10,5
110,1
111,4
112,13
113,5
114,2
115,6
116,2
117,4
118,2
119,2
11,3
120,8
121,1
122,2
123,8
124,3
125,0
126,10
127,13
128,2
129,4
12,2
130,17
131,3
132,3
133,3
134,0
135,5
136,8
137,6
138,2
139,7
13,2
140,2
141,5
142,2
143,4
144,0
145,10
146,3
147,0
148,3
149,2
14,0
150,5
151,3
152,9
153,3
154,2
155,0
156,7
157,1
158,7
159,13
15,10
160,2
161,5
162,4
163,12
164,5
165,5
166,2
167,4
168,1
169,3
16,4
170,2
171,5
172,0
173,6
174,7
175,5
176,2
177,4
178,4
179,10
17,3
180,0
181,11
182,3
183,1
184,1
185,1
186,14
187,5
188,3
189,6
18,3
190,6
191,4
192,4
193,10
194,9
195,4
196,1
197,7
198,3
199,1
19,5
1,7
200,7
201,2
202,5
203,2
204,7
205,3
206,3
207,2
208,10
209,6
20,11
210,5
211,3
212,8
213,3
214,11
215,1
216,4
217,5
218,0
219,5
21,2
220,10
221,1
222,1
223,2
224,6
225,0
226,5
227,6
228,1
229,1
22,0
230,9
231,4
232,2
233,5
234,11
235,2
236,6
237,2
238,8
239,0
23,3
240,0
241,3
242,0
243,3
244,0
245,10
246,4
247,6
248,3
249,1
24,5
250,5
251,1
252,3
253,5
254,0
255,3
256,1
257,0
258,2
259,2
25,5
260,0
261,6
262,8
263,2
264,10
265,3
266,9
267,1
268,2
269,1
26,3
270,3
271,0
272,3
273,6
274,1
275,5
276,14
277,3
278,2
279,1
27,2
280,3
281,5
282,13
283,3
284,6
285,0
286,6
287,2
288,1
289,0
28,9
290,0
291,9
292,5
293,2
294,2
295,8
296,2
297,2
298,4
299,0
29,4
2,0
30,1
31,1
32,1
33,6
34,1
35,6
36,1
37,5
38,1
39,9
3,8
40,1
41,1
42,3
43,2
44,11
45,2
46,5
47,9
48,3
49,1
4,7
50,6
51,3
52,3
53,3
54,6
55,3
56,4
57,0
58,4
59,11
5,2
60,11
61,4
62,4
63,4
64,3
65,3
66,6
67,5
68,14
69,2
6,1
70,0
71,5
72,5
73,1
74,2
75,3
76,2
77,4
78,4
79,4
7,3
80,2
81,2
82,4
83,3
84,4
85,5
86,5
87,13
88,4
89,1
8,1
90,0
91,1
92,8
93,9
94,10
95,1
96,1
97,4
98,9
99,3
9,1
